Дата,"Ключевая ставка, % годовых","Инфляция, % г/г",Цель по инфляции
03.2026,15.0,5.86,4.0
02.2026,15.5,5.91,4.0
01.2026,16.0,6.0,4.0
12.2025,16.0,5.59,4.0
11.2025,16.5,6.64,4.0
10.2025,16.5,7.71,4.0
