,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь ,июль,август,сентябрь,октябрь,ноябрь,декабрь
Курская область,18591.9,18172.9,19439.6,20783,20555.4,20781,22143.4,21248.2,20660.5,21558.7,21710,27544.4,20866,20434.2,21569.9,23112.3,23327.1,23419.6,24077.5,23038.9,22762.5,23260.4,22878.5,29183,21820.4,22154.3,22646.1,23497.3,23630.2,24107.3,24250.2,23560.7,23436.3,23882.4,23450.4,29823.2,22555.8,23340.6,23724.2,25442.4,24924.4,25868.3,25889.1,25117,25075.7,25050.6,25083.7,31641.4,24477.674587619418,24765.40090955763,25375.25849051599,27293.177738417216,27125.55383595943,28468.239034725535,26537.934216591268,26307.502827736065,27050.6486662773,27333.08255300385,27556.171455485113,34473.98619524017,27684.08314248667,28227.921813469085,28001.89547536068,29871.287367240056,30324.167558397654,31594.540492275897,28767.183912791577,29123.735741269298,28913.121915546908,30029.782495039184,30124.80466831204,36427.524728465316
Липецкая область,19530.5,18843,19935.7,21435.5,20989.2,21837.7,22557.6,20811.9,20845.1,22815.9,21226.7,28692,20997.2,20174.9,22014.3,23272.4,23355,23836.3,24751.7,22422.7,22694.4,24622.5,22821.1,30869.7,21935.8,21679.8,23191.6,24878.7,24054.4,24793.8,25693.5,23388,23383.7,25611.7,23419.7,32201.6,22976,23101.4,24043.3,26932.7,25549.5,26658.9,26606,25260.3,24892.6,27076.1,25222.1,34459,25657.925812219877,25187.68979711376,27004.737008255004,28908.472056922143,28153.052455166726,29029.09147414715,28908.188319810484,27224.656931975325,27674.12263512677,29434.15286054099,27885.692295681863,36601.11820781477,28965.758718611,28933.24663796146,30475.023755243623,32653.857082805895,31286.296667162464,32512.49372050845,32574.382134324078,31107.3416799928,30128.64074880476,32514.516321289804,30775.073458083472,39991.070784357515
Московская область ,32604.8,32319.9,34035.2,34562,35004,36740.1,35778,34751.2,35758.8,36403.1,36494.2,46877.5,35674.1,35205.8,37407,38663.7,38547.8,40265.2,38916,37413.7,38480.3,39120.3,39423.1,49489.9,38016.5,37331.3,39083.5,40030.1,39956.3,41721.9,39880.4,38482.9,39699,40315.2,40169.4,50023.2,39593,39916.4,42052.9,42433.6,43118.7,46032.9,42168.6,41416.7,43658.5,43275,43693.7,54239.3,42751.04382069686,42349.67509015167,45688.43128444031,45133.47348762576,46479.45398789585,50606.024815844874,44975.92281067224,44033.739364583,45654.841883490524,46271.227643320264,47005.19499705807,58944.18307943287,46409.502635468765,46669.07222805707,50117.24563538183,49692.44221599828,50614.38994997806,53862.26048614973,48953.24402695563,47837.2276660545,49900.470921754626,50564.980639365654,50134.69881780979,63911.99836602319
Орловская область,16865.9,16728.4,18041.6,18450.1,19186,19846.2,19400.4,19534.5,18643.8,19626.5,19126.6,24574.5,19023.7,18778.9,19468.3,20192.5,20919.5,21996.6,20909.6,20011.9,20110.3,20509.3,20530,27195.5,19584.4,20001.9,20796.3,20743.2,22065.6,23240.2,21412.1,21236.8,21292.4,21457.8,21273.4,26824.5,20270.4,20696.3,21645.4,21894.1,23308.6,25059.2,22245.3,22571.7,22681.6,22703.8,23280.4,28688.1,22171.94735179171,22298.20510483441,23824.82795894251,24004.330440075548,25011.61569673026,26716.205349970034,23780.8994973466,23654.374027221078,24301.127240507863,24052.371080165016,24418.30597805456,31670.259635882412,24413.11620523081,24867.543148893994,25746.88944104778,26084.015957190146,27433.7536636835,29001.157318786092,26584.424228060845,26820.335517197418,26295.440108359267,26773.640261906392,26833.8148930503,33423.92872497482
Рязанская область,19392.3,19154,21289,21271.5,21784.2,23025.2,21521.3,21662.7,21260.5,22385.6,22810.7,27664.5,21495.3,21294.7,22937,23676.7,23851.4,24967.7,23346.3,23044.9,23258.5,23895.6,24048.8,29677.5,22679,23389.6,23734.4,26320.1,25578.3,26576.3,25369.6,24618,24748.6,25568.2,25040.3,30998.9,24159.3,24896.3,25673.2,26349.6,29336.9,28887,27229.1,27578.4,27136.6,26941.5,27173.6,34394,25866.866710913873,26010.31496435897,27246.4905268494,28263.843810199764,30922.62198104762,30678.81447956008,28624.682383720257,28581.317497484746,28565.177524536717,28654.898254117357,28941.474808356226,37500.09010386531,29120.278794139103,29178.6067141181,30379.796827309194,31477.826049983905,33949.57478080805,33763.09597466459,31130.226721848274,31640.848634078357,31123.967803448875,31138.490875944033,31192.23956648487,39222.292748419626
Смоленская область,17946.3,17662.5,18583,20486.1,20037.8,20262.6,20733.7,20584.1,20248.4,20805.3,21075.7,26514.9,19927.2,20129.7,20984.1,22454.3,21959.7,24033.2,21786,20890.2,21254.8,21675.5,21258.1,27282,21005.3,21340.2,21831.7,23110.3,23081.8,24468.6,22914.8,22034.6,22609.1,23132.4,22650.2,29493.8,22470.6,23526.8,23761.3,25162.1,25067.4,27943.4,24469.7,24502.5,24442.1,24253.3,24589.6,31160.2,23947.953797821152,24544.945809874716,25410.167128045836,26158.23502877408,26144.95355660785,28301.981970553403,25304.57286992918,25006.093563234783,25885.895878571653,26218.61357574721,26571.450341519812,32853.78226855565,26457.241924500253,27180.903023880943,27209.396283329184,28849.821149887084,29109.583172086313,31072.365100302155,28576.07278908247,28727.081909962795,28925.136409122777,28892.995753317326,29566.26612434911,37306.760645119524
Тамбовская область,17161.9,16528.5,17275.7,18235.5,19286.7,18839.3,19503.2,19414.9,18768.3,19969.7,20452.8,23589.4,18850.3,18371.8,19029.5,19866.7,20108.3,21778.8,20488.8,19795.4,20493.6,21381.1,21541.5,27302.1,19849.1,19866.6,20334.3,20861.7,22832.2,22820.7,21418.2,20969.3,21393.7,21744.5,21734.4,26677.9,20467.9,20568.7,21316.9,22156.2,23774.3,24528.4,22032,22311.9,22405.3,22734.3,23447.1,28173.9,22292.458913557894,21441.118289672377,23238.574584797927,23125.250990594293,25299.825539030266,25679.845114628788,23432.32682445755,23733.00012990372,23610.86379532265,24280.583946762265,24203.422579790597,30007.96604074439,24008.40138816755,24059.453467446765,24946.71819951441,24839.97591272255,27934.82658270654,28335.997925492025,25498.31111171366,26024.295153889685,25588.484954680134,26205.931763804492,26754.24888483459,33252.371974555375
Тверская область,19518,19799.7,22180.4,22636.8,22760,23314.5,23208.2,22768.2,22339.6,23334.4,23349.3,30922.7,22219.2,22326.9,23420.5,24863.4,24539.4,25798,24907.7,23290.5,24908.4,24567.6,25121,30722.1,22756.2,23435.4,23674,24751.9,24866.8,26405.1,24468.8,23246.1,24079,24572.3,24584.4,30894.7,23456,24689.9,25154.5,25456.1,26301,28347.5,25278.6,25026,25852.7,25526.7,26090.5,31989.5,24849.929446202168,25736.135465527444,26352.578388013033,27062.725218914118,27704.16397870623,29182.139938813383,26576.442631156537,25755.629702890903,27155.488981381644,26878.538500519207,27504.293241782823,33851.75249380866,27300.193464737447,28416.466764183187,28963.089389018412,30045.48987258958,30530.454645901656,32626.973864153224,29707.325889983007,29574.471746792304,29613.135025564025,30277.712261087192,30764.119881033548,37768.621785532174
Тульская область,20615.9,20586.4,21776.8,22078.9,22562,23055.8,23576.2,23223.4,22614.1,23529.5,23865.4,29240.1,23448.1,23473.2,24530.4,25102.3,25277.2,25981.4,26317.9,25284.6,25512,25974.3,26101.1,31700.1,25845.4,25562.4,26884.4,26969.4,27369.3,28048.4,27676,26583.1,26761.1,26853.2,26716.3,31781.9,26723.7,27130,27911.6,27862.1,28816.7,30100.1,29210.5,28781.7,29258.7,28849,29153.9,34994.3,28564.15824950781,28844.049276102647,30681.36831848829,30601.641565482136,31039.746984540296,33021.97456380501,31036.505878801727,30535.25012774506,31183.245413320794,30732.309165556464,31400.763582823194,37671.25557453054,31839.973381290583,32167.32826394393,33162.70597901605,33887.67650615851,34236.85025761633,35545.263787035765,33868.57878827222,33662.04077133069,33273.715133613165,33455.38290115382,33933.26734665662,41198.32154923121
Ярославская область,20772.4,20844.8,21338.3,22449.2,22315.1,23209.4,22716.2,22210.3,22340.9,22979.5,23563.5,29705.3,22824,22618,23789.1,25150,25121.5,26198.1,24689.7,23810.7,24675.4,24987.3,25806.3,31575.4,24466.1,24196.6,25490.7,26372.5,26967.1,27996,26229.7,25240.7,25933.8,26366.1,26736.5,32715.6,25725.3,26022.3,27409.9,28002.1,28997.2,29910.5,27535.4,27317.2,28037.6,28317.9,28949.7,35444.5,27766.1859732018,27889.58957259234,29505.08584613015,29847.28587828002,31069.218104372274,31883.38462875167,29367.16864710094,28814.80587263083,29446.27303208593,30651.547355257295,31424.974001719635,38376.63479944427,31459.96083483432,31541.5120069502,32818.5039055037,32939.29152672641,34039.06206533113,35358.913764360674,32960.9285991609,32236.232563121728,32685.347704790158,33427.08969517393,33882.069331728,41869.49581471456
г.Москва ,48816.6,49587.3,55049.3,59133.8,54222.7,58548.2,58038.5,53349,52892.9,54354.8,54881.8,76237.7,53584.3,54672.5,59753.7,64337.9,58421.6,62607.6,61609.7,56683.4,59658.1,61131.9,61234.7,82592.8,56095.1,60322.3,61040.4,66127.1,64908.3,66562.3,64926.7,59911.7,60423.6,61527.2,62452.1,88623.5,60161.6,67092.1,70551.3,74733.1,69772,73215.2,69015.3,68728,66920.2,67024.9,67899.3,98435.5,61277.47757926358,67219.16499611962,72128.92193995084,77694.28520731976,69459.96736775179,77565.4350226252,70819.74497929476,67654.56846458279,69122.3330640868,69846.52759024082,70992.98555748924,104051.87180702394,70250.84856164026,80183.23738633277,84081.16472555243,89317.65619577425,81063.90784220594,90093.76366116565,80998.66672857443,77617.97666221748,77273.80077310512,79150.64988403124,78946.1843016296,113988.04407796304
Северо-Западный федеральный округ,29421.8,29211.7,31320.1,32222.3,32460.3,33797.1,32789.7,31610,31939.3,32744.8,33346.2,43466.3,32288.6,32013.1,34688.7,35654.2,35049.2,36679.6,35389.1,32892,34187.7,35271.5,35338.6,46241.8,34619.6,34929.2,36552,38081.7,37782.6,39040.8,37384.5,35128.3,36032,37160.4,37089.4,47714.4,36719,38818.6,40357.5,40092.5,41278.1,43006,40617.9,38913.5,39507.9,40089,40520.9,52371.9,39839.97919460024,41319.90146165178,43586.33269549135,43834.84786961923,44628.79498978423,47091.45604101993,43953.64773130677,42537.94370305283,43262.36982599625,43873.514818779266,44630.27110736992,57674.85262829107,46774.64718589733,47109.09840310611,48623.5604991824,48712.36805225831,48977.23482163516,51725.89393421939,48979.899492548495,46756.63002083368,47221.220979486134,48079.92776162269,48489.08176748765,62351.490175738865
